Data,SetPoint,Out,Sens790,Sens3cc,Basetta
2015/02/25 02:14:01,18.5,21,17.375,17.312,17.312
2015/02/25 02:15:04,18.5,21,17.375,17.312,17.312
2015/02/25 02:16:07,18.5,21,17.375,17.312,17.25
2015/02/25 02:17:10,18.5,21,17.375,17.25,17.25
2015/02/25 02:18:13,18.5,21,17.375,17.312,17.25
2015/02/25 02:19:16,18.5,21,17.312,17.25,17.25
2015/02/25 02:20:20,18.5,21,17.375,17.25,17.187
2015/02/25 02:21:23,18.5,21,17.312,17.25,17.187
2015/02/25 02:22:26,18.5,21,17.312,17.25,17.187
2015/02/25 02:23:29,18.5,21,17.312,17.187,17.187
2015/02/25 02:24:32,18.5,21,17.312,17.187,17.187
2015/02/25 02:25:35,18.5,21,17.312,17.187,17.187
2015/02/25 02:26:38,18.5,21,17.312,17.187,17.187
2015/02/25 02:27:41,18.5,21,17.312,17.125,17.125
2015/02/25 02:28:44,18.5,21,17.312,17.187,17.125
2015/02/25 02:29:47,18.5,21,17.312,17.125,17.125
2015/02/25 02:30:50,18.5,21,17.312,17.125,17.125
2015/02/25 02:31:53,18.5,21,17.312,17.125,17.125
2015/02/25 02:32:56,18.5,21,17.312,17.125,17.125
2015/02/25 02:33:59,18.5,21,17.25,17.125,17.062
2015/02/25 02:35:02,18.5,21,17.312,17.125,17.062
2015/02/25 02:36:05,18.5,21,17.25,17.125,17.062
2015/02/25 02:37:08,18.5,21,17.25,17.125,17.062
2015/02/25 02:38:11,18.5,21,17.25,17.062,17.062
2015/02/25 02:39:14,18.5,21,17.25,17.062,17.062
2015/02/25 02:40:17,18.5,21,17.25,17.062,17.062
2015/02/25 02:41:20,18.5,21,17.187,17.062,17.062
2015/02/25 02:42:23,18.5,21,17.25,17.062,17.062
2015/02/25 02:43:26,18.5,21,17.25,17.062,17.0
2015/02/25 02:44:29,18.5,21,17.187,17.062,17.0
2015/02/25 02:45:32,18.5,21,17.187,17.062,17.0
2015/02/25 02:46:35,18.5,21,17.187,17.062,17.0
2015/02/25 02:47:38,18.5,21,17.187,17.062,17.0
2015/02/25 02:48:41,18.5,21,17.187,17.062,17.0
2015/02/25 02:49:44,18.5,21,17.187,17.0,17.0
2015/02/25 02:50:47,18.5,21,17.25,17.062,17.0
2015/02/25 02:51:50,18.5,21,17.187,17.0,17.0
2015/02/25 02:52:53,18.5,21,17.187,17.0,17.0
2015/02/25 02:53:56,18.5,21,17.187,17.0,16.937
2015/02/25 02:54:59,18.5,21,17.187,17.0,17.0
2015/02/25 02:56:02,18.5,21,17.187,17.0,16.937
2015/02/25 02:57:05,18.5,21,17.187,17.0,16.937
2015/02/25 02:58:08,18.5,21,17.187,17.0,16.937
2015/02/25 02:59:11,18.5,21,17.187,17.0,17.0
2015/02/25 03:00:14,18.5,21,17.187,17.0,16.937
2015/02/25 03:01:17,18.5,21,17.125,17.0,16.937
2015/02/25 03:02:20,18.5,21,17.187,17.0,16.937
2015/02/25 03:03:23,18.5,21,17.125,17.0,16.937
2015/02/25 03:04:26,18.5,21,17.125,16.937,16.937
2015/02/25 03:05:29,18.5,21,17.125,16.937,16.937
2015/02/25 03:06:32,18.5,21,17.125,17.0,16.937
2015/02/25 03:07:35,18.5,21,17.125,16.937,16.937
2015/02/25 03:08:38,18.5,21,17.187,16.937,16.937
2015/02/25 03:09:41,18.5,21,17.187,16.937,16.937
2015/02/25 03:10:44,18.5,21,17.125,16.937,16.937
2015/02/25 03:11:47,18.5,21,17.187,16.937,16.875
2015/02/25 03:12:50,18.5,21,17.125,16.937,16.875
2015/02/25 03:13:53,18.5,21,17.125,16.937,16.875
2015/02/25 03:14:56,18.5,21,17.125,16.937,16.875
2015/02/25 03:15:59,18.5,21,17.125,16.937,16.937
2015/02/25 03:17:02,18.5,21,17.125,16.937,16.937
2015/02/25 03:18:05,18.5,21,17.125,16.937,16.875
2015/02/25 03:19:08,18.5,21,17.125,16.937,16.937
2015/02/25 03:20:11,18.5,21,17.125,16.937,16.875
2015/02/25 03:21:14,18.5,21,17.125,16.937,16.875
2015/02/25 03:22:17,18.5,21,17.125,16.937,16.875
2015/02/25 03:23:20,18.5,21,17.125,16.937,16.875
2015/02/25 03:24:23,18.5,21,17.125,16.875,16.875
2015/02/25 03:25:26,18.5,21,17.062,16.937,16.875
2015/02/25 03:26:29,18.5,21,17.125,16.875,16.875
2015/02/25 03:27:32,18.5,21,17.125,16.937,16.875
2015/02/25 03:28:35,18.5,21,17.125,16.875,16.875
2015/02/25 03:29:38,18.5,21,17.062,16.875,16.875
2015/02/25 03:30:41,18.5,21,17.062,16.875,16.875
2015/02/25 03:31:44,18.5,21,17.062,16.937,16.875
2015/02/25 03:32:47,18.5,21,17.125,16.875,16.875
2015/02/25 03:33:50,18.5,21,17.062,16.875,16.875
2015/02/25 03:34:53,18.5,21,17.062,16.875,16.875
2015/02/25 03:35:56,18.5,21,17.062,16.875,16.875
2015/02/25 03:36:59,18.5,21,17.062,16.875,16.812
2015/02/25 03:38:02,18.5,21,17.062,16.875,16.875
2015/02/25 03:39:05,18.5,21,17.062,16.875,16.812
2015/02/25 03:40:08,18.5,21,17.062,16.875,16.812
2015/02/25 03:41:11,18.5,21,17.062,16.875,16.812
2015/02/25 03:42:14,18.5,21,17.062,16.875,16.812
2015/02/25 03:43:17,18.5,21,17.062,16.875,16.812
2015/02/25 03:44:20,18.5,21,17.062,16.875,16.812
2015/02/25 03:45:23,18.5,21,17.062,16.875,16.812
2015/02/25 03:46:26,18.5,21,17.062,16.875,16.812
2015/02/25 03:47:29,18.5,21,17.062,16.875,16.812
2015/02/25 03:48:32,18.5,21,17.062,16.812,16.812
2015/02/25 03:49:35,18.5,21,17.062,16.875,16.812
2015/02/25 03:50:38,18.5,21,17.062,16.875,16.812
2015/02/25 03:51:41,18.5,21,17.062,16.875,16.812
2015/02/25 03:52:44,18.5,21,17.062,16.875,16.812
2015/02/25 03:53:47,18.5,21,17.062,16.812,16.812
2015/02/25 03:54:50,18.5,21,17.062,16.875,16.812
2015/02/25 03:55:53,18.5,21,17.062,16.875,16.812
2015/02/25 03:56:56,18.5,21,17.062,16.812,16.812
2015/02/25 03:57:59,18.5,21,17.062,16.812,16.812
2015/02/25 03:59:02,18.5,21,17.0,16.812,16.812
2015/02/25 04:00:05,18.5,21,17.062,16.812,16.812
2015/02/25 04:01:08,18.5,21,17.062,16.812,16.812
2015/02/25 04:02:11,18.5,21,17.062,16.812,16.812
2015/02/25 04:03:14,18.5,21,17.062,16.812,16.812
2015/02/25 04:04:17,18.5,21,17.062,16.812,16.812
2015/02/25 04:05:20,18.5,21,17.0,16.812,16.812
2015/02/25 04:06:23,18.5,21,17.062,16.812,16.812
2015/02/25 04:07:26,18.5,21,17.062,16.812,16.75
2015/02/25 04:08:29,18.5,21,17.0,16.812,16.812
2015/02/25 04:09:32,18.5,21,17.0,16.812,16.75
2015/02/25 04:10:35,18.5,21,17.0,16.812,16.75
2015/02/25 04:11:38,18.5,21,17.062,16.812,16.75
2015/02/25 04:12:41,18.5,21,17.0,16.812,16.812
2015/02/25 04:13:44,18.5,21,17.0,16.812,16.75
2015/02/25 04:14:47,18.5,21,17.0,16.812,16.75
2015/02/25 04:15:50,18.5,21,17.0,16.812,16.75
2015/02/25 04:16:53,18.5,21,17.0,16.812,16.75
2015/02/25 04:17:56,18.5,21,17.0,16.812,16.75
2015/02/25 04:18:59,18.5,21,17.0,16.812,16.75
2015/02/25 04:20:02,18.5,21,17.0,16.812,16.75
2015/02/25 04:21:05,18.5,21,17.0,16.812,16.812
2015/02/25 04:22:08,18.5,21,17.0,16.812,16.75
2015/02/25 04:23:11,18.5,21,17.0,16.812,16.75
2015/02/25 04:24:14,18.5,21,17.0,16.812,16.75
2015/02/25 04:25:17,18.5,21,17.0,16.812,16.75
2015/02/25 04:26:20,18.5,21,17.0,16.812,16.75
2015/02/25 04:27:23,18.5,21,17.0,16.812,16.75
2015/02/25 04:28:26,18.5,21,17.0,16.75,16.75
2015/02/25 04:29:29,18.5,21,17.0,16.812,16.75
2015/02/25 04:30:32,18.5,21,17.0,16.75,16.75
2015/02/25 04:31:35,18.5,21,17.0,16.812,16.75
2015/02/25 04:32:38,18.5,21,17.0,16.812,16.75
2015/02/25 04:33:41,18.5,21,17.0,16.75,16.75
2015/02/25 04:34:44,18.5,21,17.0,16.812,16.75
2015/02/25 04:35:47,18.5,21,17.0,16.812,16.75
2015/02/25 04:36:50,18.5,21,17.0,16.812,16.75
2015/02/25 04:37:53,18.5,21,17.0,16.75,16.75
2015/02/25 04:38:56,18.5,21,17.0,16.75,16.75
2015/02/25 04:39:59,18.5,21,17.0,16.75,16.75
2015/02/25 04:41:02,18.5,21,17.0,16.75,16.75
2015/02/25 04:42:05,18.5,21,16.937,16.75,16.75
2015/02/25 07:30:12,18.5,21,17.562,17.062,17.062
2015/02/25 07:31:16,18.5,21,17.562,17.125,17.062
2015/02/25 07:32:19,18.5,21,17.562,17.125,17.062
2015/02/25 07:33:22,18.5,21,17.562,17.125,17.125
2015/02/25 07:34:25,18.5,21,17.625,17.187,17.125
2015/02/25 07:35:28,18.5,21,17.625,17.187,17.125
2015/02/25 07:36:31,18.5,21,17.625,17.187,17.125
2015/02/25 07:37:34,18.5,21,17.687,17.187,17.125
2015/02/25 07:38:37,18.5,21,17.687,17.187,17.187
2015/02/25 07:39:40,18.5,21,17.687,17.25,17.187
2015/02/25 07:40:43,18.5,21,17.687,17.25,17.187
2015/02/25 07:41:46,18.5,21,17.687,17.25,17.187
2015/02/25 07:42:49,18.5,21,17.75,17.25,17.187
2015/02/25 07:43:52,18.5,21,17.75,17.25,17.25
2015/02/25 07:44:55,18.5,21,17.75,17.25,17.25
2015/02/25 07:45:58,5,err,17.812,17.312,17.25
2015/02/25 07:47:01,5,err,17.75,17.312,17.25
2015/02/25 07:48:04,5,err,17.75,17.312,17.25
2015/02/25 07:49:07,5,err,17.687,17.312,17.25
2015/02/25 07:50:10,5,err,17.687,17.312,17.312
2015/02/25 07:51:13,5,err,17.625,17.312,17.312
2015/02/25 07:52:16,5,err,17.625,17.375,17.312
2015/02/25 07:53:19,5,err,17.625,17.375,17.312
2015/02/25 07:54:22,14.5,err,17.625,17.375,17.312
2015/02/25 07:55:25,14.5,err,17.625,17.375,17.312
2015/02/25 07:56:28,14.5,err,17.625,17.375,17.375
2015/02/25 07:57:31,14.5,err,17.625,17.437,17.375
2015/02/25 07:58:34,14.5,err,17.687,17.375,17.375
2015/02/25 07:59:38,14.5,err,17.687,17.437,17.375
2015/02/25 08:00:41,14.5,err,17.687,17.437,17.437
2015/02/25 08:01:44,14.5,err,17.687,17.437,17.437
2015/02/25 08:18:40,14.5,err,17.75,17.562,17.5
